lat,lon
37.610735000000005,-122.38945000000001
37.61013,-122.3886
37.60974,-122.38773
37.6102,-122.38687
37.60895,-122.3861
37.60887,-122.38515
37.60975,-122.384365
37.61079,-122.3835
37.61103,-122.38274
37.611464999999995,-122.38215500000001
37.61607,-122.36321
37.6157,-122.36232
37.61554,-122.36192
37.61513,-122.36093
37.61491,-122.3604
37.614395,-122.35917
37.61421,-122.35883
37.61368,-122.35750999999999
37.61334,-122.35672
37.61314,-122.35611
37.61278,-122.355365
37.61237,-122.35435000000001
37.61225,-122.35402
37.61174,-122.352855
37.6116,-122.35247
37.61096,-122.35094
37.6109,-122.35085
37.61032,-122.34948
37.6102,-122.34924
37.60965,-122.34781
37.60936,-122.3472
37.60913,-122.3465
37.60872,-122.34573
37.60857,-122.34512
37.60804,-122.34375
37.60785,-122.34328
37.60735,-122.34241
37.60739,-122.34188
37.60677,-122.34047
37.60661,-122.34001
37.606225,-122.33906999999999
37.60601,-122.33843
37.60541,-122.33718
37.60541,-122.33712
37.6049,-122.33563
37.60485,-122.33545
37.60485,-122.33467
37.60383,-122.33247
37.60332,-122.33089
37.60341,-122.3299
37.60286,-122.32938
37.60277,-122.32838
37.60243,-122.32793
37.60192,-122.32626
37.60162,-122.32382
37.601209999999995,-122.322915
37.60075,-122.32125
37.60039,-122.31956
37.59952,-122.3164
37.59883,-122.31465
37.59861,-122.31413
37.59865,-122.31342
37.59764,-122.3099
37.59731,-122.30882
37.59691,-122.30798
37.59647,-122.30685
37.59605,-122.30482
37.59554,-122.3029
37.59498,-122.30112
37.59438,-122.29987
37.59384,-122.29765
37.59363,-122.2964
37.59335,-122.29575
37.59238,-122.29317
37.59228,-122.2918
37.59164,-122.29051
37.59119,-122.28876
37.59068,-122.28753
37.59028,-122.285
37.58949,-122.28321
37.58893,-122.28111
37.58851,-122.27998
37.58867,-122.27964
37.58775,-122.27754
37.5867,-122.27328
37.58656,-122.27216
37.58544,-122.26953
37.58484,-122.26744
37.58484,-122.26667
37.58427,-122.26539
37.58427,-122.26404
37.58246,-122.25926
37.582390000000004,-122.25830500000001
37.579775,-122.25054
37.57947,-122.24973
37.57759,-122.24446
37.57729,-122.24326
37.57722,-122.2423
37.57506,-122.23663
37.57521,-122.23611
37.57459,-122.23514
37.57434,-122.2343
37.57236,-122.22833
37.57237,-122.22734
37.57194,-122.226965
37.57129,-122.22499
37.5704,-122.22226
37.57013,-122.22039
37.569685,-122.220005
37.56896,-122.21777
37.56821,-122.21538
37.56756,-122.21335
37.5672,-122.21133
37.56631,-122.20917
37.56542,-122.20636
37.56473,-122.20479
37.56482,-122.20409
37.56412,-122.20308
37.56393,-122.20164
37.56299,-122.19882
37.56253,-122.19711
37.56202,-122.19645
37.56184,-122.19579
37.56151,-122.19454
37.56061,-122.19222
37.55983,-122.18965
37.55979,-122.18887
37.55951,-122.18773
