callsign,lat,lon,alt,timestamp
AAL177,40.65035,-73.79146,0,2025-11-12T00:38:19Z
AAL177,40.65015,-73.7915,0,2025-11-12T01:02:24Z
AAL177,40.65035,-73.79144,0,2025-11-12T01:03:57Z
AAL177,40.65015,-73.79151,0,2025-11-12T01:04:07Z
AAL177,40.65035,-73.79144,0,2025-11-12T01:05:39Z
AAL177,40.65015,-73.79152,0,2025-11-12T01:06:40Z
AAL177,40.65035,-73.79144,0,2025-11-12T01:06:53Z
AAL177,40.65015,-73.7915,0,2025-11-12T01:07:41Z
AAL177,40.64993,-73.79137,0,2025-11-12T01:16:21Z
AAL177,40.64969,-73.7914,0,2025-11-12T01:16:36Z
AAL177,40.64959,-73.7912,0,2025-11-12T01:16:51Z
AAL177,40.64947,-73.79142,0,2025-11-12T01:19:51Z
AAL177,40.64936,-73.79167,0,2025-11-12T01:19:58Z
AAL177,40.64919,-73.79208,0,2025-11-12T01:20:07Z
AAL177,40.64894,-73.79267,0,2025-11-12T01:20:17Z
AAL177,40.64869,-73.79321,0,2025-11-12T01:20:26Z
AAL177,40.64838,-73.79395,0,2025-11-12T01:20:37Z
AAL177,40.64818,-73.79443,0,2025-11-12T01:20:44Z
AAL177,40.64797,-73.79491,0,2025-11-12T01:20:52Z
AAL177,40.64782,-73.79527,0,2025-11-12T01:20:59Z
AAL177,40.64772,-73.79552,0,2025-11-12T01:21:07Z
AAL177,40.64746,-73.79611,0,2025-11-12T01:22:07Z
AAL177,40.64734,-73.79637,0,2025-11-12T01:22:13Z
AAL177,40.63356,-73.78133,0,2025-11-12T01:26:14Z
AAL177,40.63342,-73.78098,0,2025-11-12T01:26:17Z
AAL177,40.63331,-73.78058,0,2025-11-12T01:26:21Z
AAL177,40.63326,-73.78023,0,2025-11-12T01:26:24Z
AAL177,40.63324,-73.77998,0,2025-11-12T01:26:27Z
AAL177,40.63323,-73.77974,0,2025-11-12T01:26:28Z
AAL177,40.63326,-73.7795,0,2025-11-12T01:26:30Z
AAL177,40.63332,-73.77918,0,2025-11-12T01:26:33Z
AAL177,40.63338,-73.77895,0,2025-11-12T01:26:35Z
AAL177,40.63349,-73.77864,0,2025-11-12T01:26:38Z
AAL177,40.6336,-73.77843,0,2025-11-12T01:26:40Z
AAL177,40.63374,-73.77821,0,2025-11-12T01:26:43Z
AAL177,40.6339,-73.77798,0,2025-11-12T01:26:45Z
AAL177,40.63412,-73.77777,0,2025-11-12T01:26:48Z
AAL177,40.6344,-73.77757,0,2025-11-12T01:26:52Z
AAL177,40.63467,-73.77734,0,2025-11-12T01:26:56Z
AAL177,40.63496,-73.77713,0,2025-11-12T01:26:59Z
AAL177,40.63523,-73.77692,0,2025-11-12T01:27:02Z
AAL177,40.6355,-73.7767,0,2025-11-12T01:27:06Z
AAL177,40.63607,-73.77626,0,2025-11-12T01:27:13Z
AAL177,40.63668,-73.77579,0,2025-11-12T01:27:21Z
AAL177,40.63721,-73.77538,0,2025-11-12T01:27:29Z
AAL177,40.63784,-73.77486,0,2025-11-12T01:27:36Z
AAL177,40.63844,-73.77441,0,2025-11-12T01:27:44Z
AAL177,40.639,-73.77396,0,2025-11-12T01:27:51Z
AAL177,40.63954,-73.77353,0,2025-11-12T01:27:59Z
AAL177,40.63984,-73.77328,0,2025-11-12T01:28:05Z
AAL177,40.63986,-73.77304,0,2025-11-12T01:28:09Z
AAL177,40.63976,-73.77274,0,2025-11-12T01:28:15Z
AAL177,40.63961,-73.77249,0,2025-11-12T01:28:20Z
AAL177,40.63947,-73.77223,0,2025-11-12T01:28:25Z
AAL177,40.63932,-73.77199,0,2025-11-12T01:28:30Z
AAL177,40.63916,-73.77171,0,2025-11-12T01:28:35Z
AAL177,40.63895,-73.77138,0,2025-11-12T01:28:40Z
AAL177,40.63882,-73.77113,0,2025-11-12T01:28:44Z
AAL177,40.63868,-73.77091,0,2025-11-12T01:28:47Z
AAL177,40.63855,-73.77068,0,2025-11-12T01:28:51Z
AAL177,40.63839,-73.77042,0,2025-11-12T01:28:56Z
AAL177,40.63768,-73.7692,0,2025-11-12T01:30:57Z
AAL177,40.63747,-73.76913,0,2025-11-12T01:31:04Z
AAL177,40.63724,-73.76915,0,2025-11-12T01:31:10Z
AAL177,40.63696,-73.76915,0,2025-11-12T01:31:18Z
AAL177,40.63675,-73.76917,0,2025-11-12T01:31:24Z
AAL177,40.63652,-73.76917,0,2025-11-12T01:31:30Z
AAL177,40.6363,-73.76917,0,2025-11-12T01:31:37Z
AAL177,40.63608,-73.76918,0,2025-11-12T01:31:46Z
AAL177,40.63586,-73.76918,0,2025-11-12T01:33:43Z
AAL177,40.63565,-73.76918,0,2025-11-12T01:33:51Z
AAL177,40.63541,-73.76918,0,2025-11-12T01:33:57Z
AAL177,40.63515,-73.7692,0,2025-11-12T01:34:04Z
AAL177,40.63489,-73.76921,0,2025-11-12T01:34:11Z
AAL177,40.63469,-73.76926,0,2025-11-12T01:34:23Z
AAL177,40.63447,-73.76929,0,2025-11-12T01:35:22Z
AAL177,40.63425,-73.76933,0,2025-11-12T01:35:34Z
AAL177,40.63404,-73.76936,0,2025-11-12T01:35:44Z
AAL177,40.63384,-73.7694,0,2025-11-12T01:35:54Z
AAL177,40.63343,-73.76945,0,2025-11-12T01:36:11Z
